antecedent,consequent,confidence,lift,support
"['7896112452690', '7896658027604', '0000023384248']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '0000023384248']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '0000023384248']",['7896004709307'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '0000023384248']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896112452690', '7896658027604', '0000023384248']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7891058002657', '7896004706474', '0000023384248']",['7896422507950'],1.0,28.0,0.03571428571428571
"['7891058002657', '7896004706474', '0000023384248']",['7898940257393'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307', '7896637032209']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307', '7896637032209']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307', '7896637032209']",['7891721019890'],1.0,28.0,0.03571428571428571
"['7896658027604', '7896004709307', '7896637032209']",['7896226109305'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307']",['7896637023047'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307']",['7896658027604'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896226109305', '7896004709307']",['7891721019890'],1.0,28.0,0.03571428571428571
['7896004709307'],['7896637023047'],1.0,28.0,0.03571428571428571
['7896004709307'],['7896112452690'],1.0,28.0,0.03571428571428571
['7896004709307'],['7896658027604'],1.0,28.0,0.03571428571428571
['7896004709307'],['7896637032209'],1.0,28.0,0.03571428571428571
['7896004709307'],['7891721019890'],1.0,28.0,0.03571428571428571
['7896004709307'],['7896226109305'],1.0,28.0,0.03571428571428571
['3253581600627'],['3253581706084'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896226109305', '7891721019890']",['7896112452690'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896226109305', '7891721019890']",['7896637032209'],1.0,28.0,0.03571428571428571
"['7896637023047', '7896658027604', '7896226109305', '7891721019890']",['7896004709307'],1.0,28.0,0.03571428571428571
['7896658027604'],['7896637023047'],1.0,28.0,0.03571428571428571
['7896658027604'],['7896112452690'],1.0,28.0,0.03571428571428571
