freq,items
1,"['7896112101352', '7896422504454']"
1,"['7896112101352', '7896422504454', '0000023384248']"
1,"['7896112101352', '0000023384248']"
1,['7896422507950']
1,"['7896422507950', '7896004706474']"
1,"['7896422507950', '7896004706474', '0000023384248']"
1,"['7896422507950', '0000023384248']"
1,['7896331703443']
1,"['7896331703443', '0000023384248']"
1,['7896015511159']
1,"['7896015511159', '0000023384248']"
1,['7896714219318']
1,"['7896714219318', '7896714207551']"
1,"['7896714219318', '7896714207551', '0000023384248']"
1,"['7896714219318', '7896331704808']"
1,"['7896714219318', '7896331704808', '7896714207551']"
1,"['7896714219318', '7896331704808', '7896714207551', '0000023384248']"
1,"['7896714219318', '7896331704808', '0000023384248']"
1,"['7896714219318', '0000023384248']"
1,['7896226109305']
1,"['7896226109305', '7896637032209']"
1,"['7896226109305', '7896637032209', '7891721019890']"
1,"['7896226109305', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896226109305', '7896637032209', '0000023384248']"
1,"['7896226109305', '7896004709307']"
1,"['7896226109305', '7896004709307', '7896637032209']"
1,"['7896226109305', '7896004709307', '7896637032209', '7891721019890']"
1,"['7896226109305', '7896004709307', '7896637032209', '7891721019890', '0000023384248']"
1,"['7896226109305', '7896004709307', '7896637032209', '0000023384248']"
1,"['7896226109305', '7896004709307', '7891721019890']"
1,"['7896226109305', '7896004709307', '7891721019890', '0000023384248']"
1,"['7896226109305', '7896004709307', '0000023384248']"
1,"['7896226109305', '7891721019890']"
1,"['7896226109305', '7891721019890', '0000023384248']"
1,"['7896226109305', '0000023384248']"
1,['7896422515535']
1,"['7896422515535', '7891317427542']"
1,"['7896422515535', '7891317427542', '0000023384248']"
1,"['7896422515535', '0000023384248']"
1,['7896422519830']
1,"['7896422519830', '0000023384248']"
1,['7896007549559']
1,"['7896007549559', '7896015511159']"
1,"['7896007549559', '7896015511159', '0000023384248']"
1,"['7896007549559', '0000023384248']"
1,['7896523216461']
1,"['7896523216461', '7896138700614']"
1,"['7896523216461', '7896138700614', '0000023384248']"
1,"['7896523216461', '0000023384248']"
1,['7891317427542']
1,"['7891317427542', '0000023384248']"
1,['78906617']
1,"['78906617', '0000023384248']"
1,['7898940257393']
1,"['7898940257393', '7891058002657']"
1,"['7898940257393', '7891058002657', '7896422507950']"
1,"['7898940257393', '7891058002657', '7896422507950', '7896004706474']"
1,"['7898940257393', '7891058002657', '7896422507950', '7896004706474', '0000023384248']"
1,"['7898940257393', '7891058002657', '7896422507950', '0000023384248']"
1,"['7898940257393', '7891058002657', '7896004706474']"
