sale_code,items,prediction
579281,"['7897799802464', '7896862918149', '7891721201530']",['7898087700110']
579282,"['7896138700515', '7898060099965']","['7891800001747', '7898415822019', '7898125712174', '7891040211524', '7891800364880', '7891800364958', '7891800000665', '7891800364798', '7891317422028', '7896641810244', '7897322709376', '7891463000408', '7896138700614', '7896094211025']"
579290,"['7896222720863', '7908007905478', '7897512900019']","['7898639690418', '0000023384248', '7896253900913', '7896523200576', '1111111111111A', '7891317422028', '7898087700110', '7896663325115', '7891000107836', '78900776', '7896641813146', '7896658005121', '7896112127390']"
579302,"['7897042015856', '7896843200164A']","['7891317496388', '7891142142252', '7891721020506']"
579303,"['7896714211978', '7896112127680', '7891000107836', '7896112149460', '7891317427542']","['7891058002657', '7891317127404', '7891058002916', '0000023384248', '78912359', '7894900180503', '7896222720863', '1111111111111A', '7894900010015', '7896423470697', '7891000248768']"
579304,"['7896212420018', '7895800304211']",['7898087700110']
579324,"['7896004703398', '7891317422028']","['78915398', '7891000460207', '7891058017507', '7891024132005', '7896523200576', '7896138700515', '7896222720863', '7896641810695', '7891058002916', '7896262304351', '7896212478750', '7891317001636', '0000023384248', '7896714213736', '7898087700110', '7891317450359', '7896004715049', '7896006216766', '7896004812168', '7896138700386', '7896006216544', '7896422504492', '7896422520980', '7891010974930', '7893736010053', '7896213306076', '7895296105040', '7896094999985', '7891317127800']"
579336,"['8718951213524', '7896422504454', '7896015528997', '7897799802464', '7896523206929']","['7898039564968', '7909690729426', '7891317002503', '7898039563732', '7891024174180', '7891010781668', '7891010036478', '7898087700110', '7891800000641']"
579339,"['7891800364880', '7898432925052', '7896094903289', '7896094912977']","['7898060099965', '7891800000665', '7896015511166', '7897512900811', '7896641810244', '7896641804465', '7896015518479', '7896094903104', '78912366', '7896094921399', '7896641810695', '7891058002916', '0000023384248', '7898087700110', '7896094912298']"
579345,"['7896512900043', '7622300858926', '7898060137544', '7896523227573', '78900806']","['78904231', '7896714231143', '7896006284369', '7891010986155']"
579363,"['7897144661302', '7896641810244', '7898108612286', '78910041', '78912359']","['78912366', '7896311769315', '1111111111111A', '7891000107836', '78907355', '7891000248829', '7896138700515', '7896094912472', '7896094912298', '7891058002916', '7898959897238', '7898087700110', '7891268187144', '7896094903289', '7896023733765', '7896094903104', '7896138700614', '7898039566290', '7896007540259']"
579365,['7891000107836'],"['78912359', '7894900180503', '7896222720863', '1111111111111A', '7894900010015', '7896423470697', '7891000248768']"
579373,"['7891317477592', '7899547506839']","['0000023384248', '7896888500120']"
579391,"['7898087700127', '7891317465667']","['7898087700110', '7898675804756', '7894900180503', '7896311710300', '7896015592332', '7898087700097', '7896530723099']"
579398,"['7898148291298', '7891317427542']","['7896714211978', '7896112149460', '7891058002657', '7891317127404', '7891058002916', '0000023384248']"
579410,['7896641810695'],"['7896015511159', '7896111995341', '7897512900811', '7891058002916', '7891317422028', '0000023384248', '7896004703398', '7896714213736', '7896094912977', '7896094910683']"
579412,['78911222'],['7891058002916']
579435,"['7891000460207', '7896019611749']","['7891317422028', '7898087700110', '78938793', '7891000251133', '7891000118580', '7894900010015']"
579436,"['7896085111129', '7896138700515', '7896902217614', '7891800364798', '7896902210998']","['0000023384248', '7897780200323', '7891800002829', '7898661681002', '7898060099965', '7891010504755', '7898125712174', '7891800000641', '7891317422028', '7896641810244', '7897322709376', '7891463000408', '7896138700614', '7896094211025']"
579439,"['7898916464176', '7898039563732', '7896111921708', '7896111970928', '7898916464091', '7898573450888', '7898916464152', '7896111978719', '076660008649', '7896111921692', '7908414448643']","['7622210564313', '7898039564968', '7898039565453', '7909690729426', '7891317002503', '7896422504454', '5702191025637', '7891024174180', '7891317002497', '7891010781668', '7896061995477', '7891010036478']"
579440,"['7896523200576', '7891010246952', '7896015560300']","['7896422504386', '7896523202822', '1111111111111A', '7891317422028', '0000023384248', '7896714213736', '7896222720863', '7897780203126', '7896004713342', '7896023732935', '7896523216447', '7896006207290', '78906884', '7898716450331', '7896006229964']"
579441,['7896004703398'],"['7896641810695', '7896212478750', '7896422504492', '7896422520980', '7891010974930', '7891058002916', '7891317422028', '7898087700110', '7893736010053', '7896213306076', '7895296105040', '7896094999985', '7891317127800']"
579444,['7891000460207'],"['7891317422028', '7898087700110', '7896019611749', '78938793', '7891000251133', '7891000118580']"
579446,['1111111111111A'],"['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7898959897238', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639']"
579449,"['7896253900913', '7895144297590', '7898279790776']",['7896222720863']
579454,['7896016807206'],"['7891025107910', '7891317004040', '7891106915182', '7898087700097', '78911246', '7500435127257']"
579455,"['7895800304235', '7895800309780', '7622210564313']","['7622210564337', '7898916464091']"
579460,"['7896004769660', '7898959897238']","['7891010249908', '7891317120863', '1220000290068', '7896641810244', '7897572001923', '7891010032906', '1111111111111A', '7896138700386', '7898039564975', '7500435106658', '7896138700072', '7622210564337', '78938816', '7898039566290', '7891106908221']"
579469,"['7896422519830', '1111111111111A']","['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7898959897238', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639', '7896671620127', '7896671630096']"
579471,"['7898959897238', '1111111111111A']","['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639', '7891010249908', '7891317120863', '1220000290068', '7896641810244', '7897572001923', '7891010032906', '7898039564975', '7896004769660', '7500435106658', '7622210564337', '78938816', '7898039566290', '7891106908221']"
579487,['7891000460207'],"['7891317422028', '7898087700110', '7896019611749', '78938793', '7891000251133', '7891000118580']"
579489,"['7898573450949', '1111111111111A']","['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7898959897238', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639']"
579495,['7891317477592'],[]
579496,"['0000023384248', '7896637023238']","['7894916501415', '7896212479924', '7896006234067', '7896382707070', '7896006207306', '7896085111129', '7896523200576', '7896112181729', '7896112144816', '7899547506839', '7896641810695', '7896094912977', '7891058002916', '7500435106610', '7896422515535', '7891317008703', '7896212478750', '7891058003029', '7896222721198', '7891317422028', '7897780200323', '7896714207551', '7891025112662', '7893736010053', '78906617', '7891800002829', '7896212415618', '7898661681002', '7896004769738', '7896523202822', '7896714213255', '7891800364798', '7896523207681', '7896138700614', '7891317427542', '7896007550890', '7896714219318', '7896714213736', '7891010504755', '7896094910683', '7908007905478', '7898125712174', '7891800000641']"
579498,"['7891000107836', '78912359', '1111111111111A']","['7622300988517', '7898687730500', '7895144295664', '7895144603063', '7896523200576', '7896222720863', '7898087700110', '80052760', '7898959897238', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639', '78912366', '7896311769315', '78907355', '7891000248829', '7894900180503', '7896423470697', '7891000248768']"
579504,"['7898074614178', '7893093015753', '1111111111111A']","['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7898959897238', '7896306623684', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639']"
579507,"['7891800002812', '7896213306076']",['7896004703398']
579509,"['7896004703398', '7896422507400']","['7896641810695', '7896212478750', '7896422504492', '7896422520980', '7891010974930', '7891058002916', '7891317422028', '7898087700110', '7893736010053', '7896213306076', '7895296105040', '7896094999985', '7891317127800']"
579513,"['7896714231143', '9002490250270']","['7891151034494', '7896262304351', '7896111954478', '7622210570086', '7896523227573', '7896138700386', '7622210570116']"
579516,"['7891721201783', '7896382707070', '0000023384248', '7898949409731', '7892953000328', '7896422515535']","['7894916501415', '7896212479924', '7896006234067', '7896006207306', '7896085111129', '7896523200576', '7896112181729', '7896112144816', '7899547506839', '7896641810695', '7896094912977', '7891058002916', '7500435106610', '7891317008703', '7896212478750', '7891058003029', '7896222721198', '7891317422028', '7897780200323', '7896714207551', '7891025112662', '7893736010053', '78906617', '7891800002829', '7896212415618', '7898661681002', '7896004769738', '7896523202822', '7896714213255', '7891800364798', '7896523207681', '7896138700614', '7891317427542', '7896007550890', '7896714219318', '7896714213736', '7891010504755', '7896094910683', '7908007905478', '7898125712174', '7891800000641']"
579532,"['7896714231143', '78938854']","['7891151034494', '7896262304351', '7896111954478', '7622210570086', '7896523227573', '7896138700386', '7622210570116']"
579535,"['7891268187144', '7896222721198', '7891142201676', '7896094910683']","['0000023384248', '7895296105040', '7896641810695', '7891058002916', '7895858017293', '7895858017316', '7896004803463', '7896094912298', '7896641810244', '7896714213736', '7898087700110', '7896006216797', '7891058022822', '7898681350032']"
579540,['7896714231143'],"['7891151034494', '7896262304351', '7896111954478', '7622210570086', '7896523227573', '7896138700386', '7622210570116']"
579542,"['7891040023394', '7896306623684', '7891040002344', '1111111111111A']","['7622300988517', '7898687730500', '7895144295664', '7895144603063', '78912359', '7896523200576', '7896222720863', '7898087700110', '80052760', '7891000107836', '7898959897238', '7896004769738', '7891008121728', '7896138700072', '7894900010015', '7891010579616', '7896138700386', '7898647920330', '7891010589639']"
579546,"['7895296105040', '7891010518844', '7896714200835', '7899026437333', '7896094202900']","['7891000062760', '7896004703398', '7896094910683', '7896094999985']"
579558,"['7896004772301', '78938793']","['7891000460207', '78938830', '78938816']"
579566,"['7896112147640', '78938830']","['78938823', '78938878', '78938793', '7891268400014', '78938816', '7897517903916']"
579577,"['7896714213736', '7891317422028']","['78915398', '7891000460207', '7891058017507', '7891024132005', '7896523200576', '7896138700515', '7896222720863', '7896641810695', '7891058002916', '7896262304351', '7896212478750', '7891317001636', '0000023384248', '7898087700110', '7891317450359', '7896004703398', '7896004715049', '7896006216766', '7896004812168', '7896138700386', '7896006216544', '7891317120863', '7891317101961', '7896663301317', '7891268187144', '7896714207551', '78939301', '7896023702440', '7891058002961', '7896138700614']"
579578,"['7896222720863', '7898040329655', '7896015518875', '7895858017293']","['7896253900913', '7896523200576', '1111111111111A', '7891317422028', '7898087700110', '7896663325115', '7891000107836', '78900776', '7896641813146', '7896658005121', '7908007905478', '7896112127390', '7891268187144']"
579585,"['7891010247409', '7894900010015']","['7896306621123', '7891000249239', '7622300988517', '80761761', '78909434', '7896019611749', '7892840253745', '7896306612817', '7896306622366', '7891000107836', '7892840816438', '1111111111111A', '7891058002916', '7898087700110']"
579587,"['1234564A', '8411061805008']",[]
579597,"['7908007905478', '7897322709376']","['7898639690418', '7896222720863', '0000023384248', '7896138700515']"
579604,"['7622210566409', '7894900010015']","['7896306621123', '7891000249239', '7622300988517', '80761761', '78909434', '7896019611749', '7892840253745', '7896306612817', '7896306622366', '7891000107836', '7892840816438', '1111111111111A', '7891058002916', '7898087700110']"
579605,"['7897517903909', '4005808369621', '7896004721323', '7612412396003', '7891182020879', '7896422516877', '7896044998723', '7896007550548', '7896015511166', '7891182014601', '7891010032906', '7898959897238', '7898584396946', '7896094903289']","['7896094912977', '7897512900811', '7896641810244', '7896641804465', '7896015518479', '7896094903104', '7898087700110', '7891010249908', '7891317120863', '1220000290068', '7897572001923', '1111111111111A', '7896138700386', '7898039564975', '7896004769660', '7500435106658', '7896138700072', '7622210564337', '78938816', '7898039566290', '7891106908221', '7891010589639']"
