"sale_code","barcode"
"579192","7891010035631"
"579192","7896007550814"
"579192","78938816"
"579192","7898959897238"
"579192","7898687730500"
"579192","7898039566290"
"579198","7896112149460"
"579198","7898961258324"
"579198","7891058169015"
"579198","7898233931412"
"579198","7891721201806"
"579198","7898233931665"
"579198","7898961258102"
"579198","7897129301513"
"579199","7896714275208"
"579199","7896023733765"
"579200","7891317427542"
"579200","7896138700614"
"579207","7891000107836"
"579214","7898087700097"
"579227","7891106004213"
"579227","7891142141279"
"579227","7891000460207"
"579227","7896014140596"
"579230","7891000460207"
"579232","7896138700515"
"579232","7891463000408"
"579238","7898599213511"
"579238","7898087700110"
"579238","7896311769315"
"579243","7908007905478"
"579244","7896004703398"
"579244","7896213306076"
"579244","7896235353904"
"579245","7898593052208"
"579245","7891000258590"
"579245","7892840816254"
"579245","1111111111111A"
"579245","7898647920330"
"579245","7898958060886"
"579250","7896138700515"
"579256","7896004703398"
"579256","7898573459454"
"579256","7899706174985"
"579256","7896676427844"
"579256","7896658004704"
"579256","7891142115492"
"579256","7891317476526"
"579265","7891000248768"
"579265","7896423470994"
"579281","7891721201530"
"579281","7896862918149"
"579281","7897799802464"
"579282","7898060099965"
"579282","7896138700515"
"579290","7908007905478"
"579290","7897512900019"
"579290","7896222720863"
"579302","7897042015856"
"579302","7896843200164A"
"579303","7896112127680"
"579303","7891000107836"
"579303","7891317427542"
"579303","7896112149460"
"579303","7896714211978"
"579304","7895800304211"
"579304","7896212420018"
"579324","7896004703398"
"579324","7891317422028"
"579336","8718951213524"
"579336","7896422504454"
"579336","7896015528997"
"579336","7897799802464"
"579336","7896523206929"
"579339","7891800364880"
"579339","7898432925052"
"579339","7896094903289"
"579339","7896094912977"
"579345","7896512900043"
"579345","7896523227573"
"579345","7622300858926"
"579345","78900806"
"579345","7898060137544"
"579363","78910041"
"579363","78912359"
"579363","7898108612286"
"579363","7896641810244"
"579363","7897144661302"
"579365","7891000107836"
"579373","7891317477592"
"579373","7899547506839"
"579391","7891317465667"
"579391","7898087700127"
"579398","7891317427542"
"579398","7898148291298"
"579410","7896641810695"
"579412","78911222"
"579435","7896019611749"
"579435","7891000460207"
"579436","7891800364798"
"579436","7896902210998"
"579436","7896902217614"
"579436","7896085111129"
"579436","7896138700515"
"579439","7898573450888"
"579439","7896111978719"
"579439","7896111970928"
"579439","7898039563732"
"579439","7896111921692"
"579439","7898916464091"
"579439","7896111921708"
"579439","7898916464152"
"579439","7898916464176"
"579439","7908414448643"
"579439","076660008649"
"579440","7891010246952"
"579440","7896015560300"
"579440","7896523200576"
"579441","7896004703398"
"579444","7891000460207"
"579446","1111111111111A"
"579449","7896253900913"
"579449","7895144297590"
"579449","7898279790776"
"579454","7896016807206"
"579455","7622210564313"
"579455","7895800304235"
"579455","7895800309780"
"579460","7896004769660"
"579460","7898959897238"
"579469","7896422519830"
"579469","1111111111111A"
"579471","1111111111111A"
"579471","7898959897238"
"579487","7891000460207"
"579489","1111111111111A"
"579489","7898573450949"
"579495","7891317477592"
"579496","7896637023238"
"579496","0000023384248"
"579498","7891000107836"
"579498","78912359"
"579498","1111111111111A"
"579504","7898074614178"
"579504","1111111111111A"
"579504","7893093015753"
"579507","7896213306076"
"579507","7891800002812"
"579509","7896422507400"
"579509","7896004703398"
"579513","7896714231143"
"579513","9002490250270"
"579516","0000023384248"
"579516","7891721201783"
"579516","7898949409731"
"579516","7896382707070"
"579516","7896422515535"
"579516","7892953000328"
"579532","7896714231143"
"579532","78938854"
"579535","7896094910683"
"579535","7891268187144"
"579535","7896222721198"
"579535","7891142201676"
"579540","7896714231143"
"579542","7896306623684"
"579542","7891040002344"
"579542","7891040023394"
"579542","1111111111111A"
"579546","7891010518844"
"579546","7896094202900"
"579546","7899026437333"
"579546","7895296105040"
"579546","7896714200835"
"579558","7896004772301"
"579558","78938793"
"579566","78938830"
"579566","7896112147640"
"579577","7896714213736"
"579577","7891317422028"
"579578","7895858017293"
"579578","7896222720863"
"579578","7896015518875"
"579578","7898040329655"
"579585","7891010247409"
"579585","7894900010015"
"579587","1234564A"
"579587","8411061805008"
"579597","7897322709376"
"579597","7908007905478"
"579604","7894900010015"
"579604","7622210566409"
"579605","7896015511166"
"579605","7896094903289"
"579605","7891182020879"
"579605","4005808369621"
"579605","7898584396946"
